Maths,General Science,History,Geography,Language,Mean,Gender,Major
72,72,34,31,74,55.3,Male,Arts
69,90,88,70,88,79.53333333333333,Female,Science
90,95,73,81,93,83.33333333333333,Female,Diploma
47,57,98,31,44,56.56666666666666,Male,Diploma
76,78,30,37,75,57.76666666666667,Female,Science
71,83,92,86,78,79.8,Male,Commerce
88,95,46,81,92,76.83333333333333,Male,Commerce
40,43,79,33,39,49.66666666666666,Female,Arts
64,64,90,66,67,68.86666666666666,Female,Arts
38,60,77,52,50,57.6,Female,Commerce
58,54,76,37,52,56.26666666666667,Female,Science
40,52,85,87,43,62.3,Male,Arts
65,81,32,34,73,56.333333333333336,Female,Arts
78,72,63,100,70,75.43333333333334,Male,Science
50,53,91,94,58,70.23333333333333,Female,Diploma
69,75,35,70,78,65.39999999999999,Female,Commerce
88,89,56,45,86,71.06666666666666,Female,Arts
18,32,71,52,28,44.56666666666666,Male,Diploma
46,42,68,30,46,49.03333333333333,Male,Diploma
54,58,64,44,61,57.63333333333333,Female,Commerce
66,69,77,51,63,66.03333333333333,Male,Science
65,75,30,74,70,61.9,Female,Arts
44,54,39,71,53,52.26666666666667,Male,Science
69,73,67,86,73,73.63333333333334,Female,Diploma
74,71,85,35,80,69.60000000000001,Female,Diploma
73,74,74,34,72,62.56666666666666,Male,Commerce
69,54,98,97,55,76.26666666666667,Male,Science
67,69,62,81,75,69.0,Male,Commerce
70,70,43,32,65,55.0,Male,Diploma
62,70,56,44,75,61.26666666666667,Female,Commerce
69,74,53,77,74,68.93333333333334,Female,Commerce
63,65,65,71,61,65.63333333333334,Female,Science
56,72,69,83,65,69.76666666666667,Male,Arts
40,42,62,89,38,54.36666666666667,Male,Arts
97,87,31,67,82,70.13333333333334,Female,Arts
81,81,97,86,79,85.66666666666667,Female,Arts
74,81,31,49,83,61.4,Male,Arts
50,64,97,46,59,64.93333333333334,Female,Arts
75,90,93,62,88,80.5,Female,Science
57,56,37,38,57,49.03333333333333,Male,Commerce
55,61,42,53,54,54.73333333333333,Female,Diploma
58,73,94,87,68,77.03333333333333,Female,Arts
53,58,96,48,65,65.26666666666667,Female,Science
59,65,65,52,66,61.7,Female,Commerce
50,56,76,62,54,62.03333333333333,Male,Science
65,54,71,32,57,57.86666666666667,Female,Science
55,65,55,32,62,54.3,Male,Diploma
66,71,66,79,76,71.39999999999999,Female,Science
57,74,54,91,76,70.26666666666667,Male,Arts
82,84,85,65,82,78.2,Female,Science
53,55,74,69,48,60.13333333333333,Female,Diploma
77,69,81,38,68,64.86666666666666,Female,Commerce
53,44,73,30,42,49.03333333333333,Male,Science
88,78,67,48,75,67.10000000000001,Female,Commerce
71,84,45,59,87,68.86666666666666,Male,Science
33,41,34,69,43,45.63333333333333,Male,Diploma
82,85,65,95,86,81.86666666666666,Male,Arts
52,55,32,38,49,46.26666666666667,Male,Arts
58,59,88,45,58,63.26666666666667,Female,Commerce
0,17,46,88,10,37.56666666666667,Male,Arts
79,74,69,83,72,75.93333333333334,Male,Commerce
39,39,64,98,34,57.43333333333334,Male,Commerce
62,61,61,79,55,61.73333333333333,Male,Arts
69,80,92,45,71,72.26666666666667,Male,Science
59,58,33,50,59,51.56666666666666,Male,Science
67,64,97,77,61,73.56666666666666,Male,Science
45,37,78,54,37,52.36666666666667,Male,Science
60,72,77,35,74,64.7,Male,Science
61,58,71,92,56,67.2,Male,Diploma
39,64,56,32,57,50.8,Female,Science
58,63,87,84,73,74.39999999999999,Male,Arts
63,55,97,88,63,74.36666666666666,Female,Science
41,51,72,47,48,54.86666666666667,Female,Diploma
61,57,59,70,56,61.06666666666666,Female,Arts
49,49,65,35,41,49.5,Male,Commerce
44,41,77,96,38,63.53333333333333,Female,Diploma
30,26,69,71,22,46.13333333333333,Female,Arts
80,78,87,82,81,82.10000000000001,Male,Science
61,74,65,76,72,69.10000000000001,Male,Commerce
62,68,90,31,68,62.03333333333333,Female,Arts
47,49,49,65,50,53.36666666666667,Male,Commerce
49,45,58,47,45,51.73333333333333,Female,Arts
50,47,74,58,54,57.06666666666666,Male,Science
72,64,89,71,63,71.76666666666667,Male,Diploma
42,39,63,44,34,49.46666666666667,Female,Science
73,80,53,71,82,69.89999999999999,Male,Arts
76,83,64,92,88,80.39999999999999,Male,Commerce
71,71,30,48,74,57.9,Female,Commerce
58,70,44,62,67,58.5,Female,Arts
73,86,97,51,82,75.13333333333334,Male,Arts
65,72,83,30,74,61.56666666666666,Male,Diploma
27,34,61,75,36,49.16666666666666,Female,Commerce
71,79,75,57,71,70.83333333333333,Female,Commerce
43,45,44,88,50,58.23333333333333,Male,Arts
79,86,59,33,92,67.03333333333333,Male,Diploma
78,81,81,100,82,83.36666666666666,Male,Arts
65,66,60,93,62,67.26666666666667,Female,Arts
63,72,87,46,70,66.36666666666666,Male,Commerce
58,67,80,97,62,73.53333333333333,Male,Commerce
65,67,46,99,62,66.86666666666666,Male,Arts
79,67,42,65,67,61.4,Male,Commerce
68,74,78,34,74,64.36666666666666,Male,Diploma
85,91,63,99,89,82.89999999999999,Male,Science
60,44,39,83,47,56.2,Male,Science
98,86,67,34,90,71.23333333333333,Female,Diploma
58,67,58,78,72,66.10000000000001,Male,Arts
87,100,78,32,100,74.56666666666666,Male,Arts
66,63,96,91,64,76.3,Male,Arts
