Physics,Maths,Chemistry,Biology,Mean,Locality,Budget,Entrance,prev_stream,College_Section
72,72,71,74,85.6,Nashik,80000.0,139,Diploma,1
69,90,68,88,90.4,Nashik,70000.0,137,Diploma,1
90,95,89,93,88.6,Mumbai,30000.0,76,Commerce,1
47,57,46,44,74.2,Pune,190000.0,177,Diploma,1
76,78,75,75,79.2,Mumbai,140000.0,92,Commerce,1
71,83,70,78,87.2,Mumbai,80000.0,134,Diploma,1
88,95,87,92,94.2,Nashik,130000.0,109,Arts,1
40,43,39,39,57.2,Pune,90000.0,125,Diploma,1
64,64,63,67,75.4,Mumbai,90000.0,119,Science,1
38,60,37,50,56.0,Nashik,170000.0,95,Diploma,1
58,54,57,52,78.8,Pune,140000.0,173,Diploma,1
40,52,39,43,55.2,Mumbai,130000.0,102,Diploma,1
65,81,64,73,87.2,Pune,70000.0,153,Diploma,1
78,72,77,70,96.8,Mumbai,80000.0,187,Diploma,1
50,53,49,58,76.2,Pune,30000.0,171,Diploma,1
69,75,68,78,95.2,Pune,10000.0,186,Commerce,1
88,89,87,86,83.2,Nashik,90000.0,66,Arts,1
18,32,17,28,55.6,Nashik,150000.0,183,Diploma,1
46,42,45,46,47.2,Nashik,30000.0,57,Diploma,1
54,58,53,61,63.6,Nashik,150000.0,92,Arts,1
66,69,65,63,86.2,Pune,80000.0,168,Diploma,1
65,75,64,70,67.0,Mumbai,120000.0,61,Diploma,1
44,54,43,53,56.8,Nashik,110000.0,90,Diploma,1
69,73,68,73,94.4,Mumbai,100000.0,189,Arts,1
74,71,73,80,94.6,Pune,90000.0,175,Diploma,1
73,74,72,72,91.4,Nashik,30000.0,166,Diploma,1
69,54,68,55,77.4,Pune,200000.0,141,Diploma,1
67,69,66,75,70.6,Pune,200000.0,76,Commerce,1
70,70,69,65,83.4,Mumbai,140000.0,143,Diploma,1
62,70,61,75,69.6,Nashik,50000.0,80,Arts,1
69,74,68,74,87.4,Pune,190000.0,152,Arts,1
63,65,62,61,73.8,Nashik,70000.0,118,Diploma,1
56,72,55,65,80.4,Pune,20000.0,154,Diploma,1
40,42,39,38,47.4,Mumbai,170000.0,78,Diploma,1
97,87,96,82,95.2,Nashik,160000.0,114,Diploma,1
81,81,80,79,92.8,Nashik,150000.0,143,Commerce,1
74,81,73,83,78.8,Pune,200000.0,83,Arts,1
50,64,49,59,65.2,Nashik,110000.0,104,Diploma,1
75,90,74,88,87.0,Mumbai,40000.0,108,Diploma,1
57,56,56,57,81.0,Nashik,130000.0,179,Diploma,1
55,61,54,54,62.2,Nashik,190000.0,87,Diploma,1
58,73,57,68,84.8,Pune,110000.0,168,Diploma,1
53,58,52,65,57.4,Pune,100000.0,59,Arts,1
59,65,58,66,72.2,Pune,110000.0,113,Commerce,1
50,56,49,54,80.0,Mumbai,10000.0,191,Diploma,1
65,54,64,57,66.8,Mumbai,40000.0,94,Diploma,1
55,65,54,62,75.4,Pune,20000.0,141,Diploma,1
66,71,65,76,75.2,Mumbai,140000.0,98,Diploma,1
57,74,56,76,68.2,Mumbai,70000.0,78,Diploma,1
82,84,81,82,79.2,Nashik,180000.0,67,Diploma,1
53,55,52,48,74.6,Pune,190000.0,165,Science,1
77,69,76,68,81.8,Nashik,150000.0,119,Diploma,1
53,44,52,42,70.8,Mumbai,110000.0,163,Commerce,1
88,78,87,75,83.6,Pune,160000.0,90,Diploma,1
71,84,70,87,94.0,Pune,160000.0,158,Diploma,1
33,41,32,43,56.0,Nashik,70000.0,131,Arts,1
82,85,81,86,79.8,Mumbai,130000.0,65,Arts,1
52,55,51,49,57.2,Pune,90000.0,79,Commerce,1
58,59,57,58,78.6,Nashik,50000.0,161,Commerce,1
0,17,-1,10,20.6,Nashik,70000.0,77,Diploma,1
79,74,78,72,74.8,Mumbai,110000.0,71,Diploma,1
39,39,38,34,41.0,Nashik,120000.0,55,Arts,1
62,61,61,55,67.6,Mumbai,110000.0,99,Diploma,1
