iter	Passed	Remaining
0	4	4948
1	8	4263
2	12	4003
3	15	3834
4	19	3802
5	22	3759
6	27	3864
7	30	3837
8	34	3841
9	38	3814
10	42	3785
11	45	3769
12	49	3747
13	53	3735
14	56	3726
15	60	3716
16	64	3700
17	67	3697
18	71	3685
19	74	3664
20	78	3651
21	81	3642
22	85	3634
23	89	3630
24	93	3630
25	96	3620
26	100	3617
27	103	3609
28	107	3599
29	111	3596
30	114	3585
31	116	3518
32	119	3514
33	123	3510
34	127	3502
35	130	3499
36	134	3506
37	138	3499
38	141	3490
39	145	3488
40	149	3486
41	152	3479
42	156	3474
43	159	3468
44	163	3466
45	166	3461
46	170	3455
47	173	3449
48	177	3442
49	180	3437
50	184	3437
51	188	3434
52	192	3431
53	195	3426
54	199	3426
55	203	3422
56	206	3417
57	210	3412
58	214	3413
59	217	3408
60	221	3403
61	224	3398
62	228	3393
63	232	3393
64	235	3390
65	239	3387
66	242	3380
67	246	3379
68	250	3374
69	253	3371
70	257	3373
71	261	3368
72	265	3365
73	268	3360
74	272	3354
75	275	3351
76	279	3349
77	283	3346
78	286	3339
79	289	3334
80	293	3330
81	297	3325
82	300	3321
83	304	3316
84	307	3311
85	311	3308
86	314	3303
87	318	3300
88	321	3295
89	325	3291
90	329	3288
91	332	3284
92	336	3282
93	339	3276
94	343	3274
95	347	3271
96	351	3268
97	354	3265
98	358	3262
99	362	3258
100	365	3255
101	369	3250
102	372	3245
103	376	3241
104	380	3241
105	384	3240
106	387	3235
107	391	3231
108	394	3227
109	398	3223
110	402	3219
111	405	3215
112	409	3212
113	412	3208
114	416	3203
115	419	3200
116	423	3197
117	427	3193
118	430	3190
119	434	3186
120	437	3181
121	441	3179
122	445	3175
123	449	3173
124	452	3168
125	456	3165
126	459	3161
127	463	3157
128	466	3152
129	470	3147
130	473	3144
131	477	3139
132	481	3135
133	484	3132
134	489	3134
135	492	3130
136	496	3126
137	499	3122
138	503	3118
139	507	3116
140	510	3112
141	514	3108
142	518	3108
143	522	3106
144	526	3102
145	529	3097
146	533	3093
147	536	3090
148	540	3086
149	543	3082
150	547	3078
151	551	3074
152	554	3071
153	558	3068
154	562	3064
155	565	3061
156	569	3057
157	573	3053
158	576	3050
159	580	3046
160	583	3042
161	587	3039
162	590	3034
163	594	3030
164	598	3026
165	601	3024
166	605	3019
167	608	3015
168	612	3011
169	616	3007
170	619	3005
171	623	3001
172	627	2997
173	630	2993
174	634	2989
175	637	2986
176	641	2982
177	645	2978
178	648	2974
179	651	2970
180	655	2967
181	659	2962
182	662	2959
183	666	2956
184	670	2952
185	673	2948
186	677	2944
187	680	2939
188	684	2936
189	687	2932
190	691	2928
191	694	2924
192	698	2921
193	702	2918
194	705	2914
195	709	2910
196	712	2906
197	716	2902
198	720	2898
